admin2,admin3,admin4,partner,province,municipality,barangay,date,Selected,First Installment,Second Installment
PH060400000,PH060401000,PH060401001,IFRC,Aklan,Altavas,Cabangila,8/8/18,83,0,0
PH060400000,PH060401000,PH060401001,IFRC,Aklan,Altavas,Cabangila,9/6/18,0,80,0
PH060400000,PH060401000,PH060401001,IFRC,Aklan,Altavas,Cabangila,10/11/18,0,0,78
PH060400000,PH060401000,PH060401002,IFRC,Aklan,Altavas,Cabugao,10/25/18,173,0,0
PH060400000,PH060401000,PH060401002,IFRC,Aklan,Altavas,Cabugao,11/8/18,0,169,0
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,8/8/18,99,0,0
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,9/6/18,0,92,0
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,10/11/18,0,1,93
PH060400000,PH060401000,PH060401003,IFRC,Aklan,Altavas,Catmon,10/25/18,0,1,-2
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,8/8/18,43,0,0
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,9/6/18,0,40,0
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,10/11/18,0,0,38
PH060400000,PH060401000,PH060401004,IFRC,Aklan,Altavas,Dalipdip,11/15/18,0,0,1
PH060400000,PH060401000,PH060401007,IFRC,Aklan,Altavas,Lumaynay,10/25/18,136,0,0
PH060400000,PH060401000,PH060401007,IFRC,Aklan,Altavas,Lumaynay,11/8/18,0,136,0
PH060400000,PH060401000,PH060401009,IFRC,Aklan,Altavas,Man-up,8/8/18,105,0,0
PH060400000,PH060401000,PH060401009,IFRC,Aklan,Altavas,Man-up,9/6/18,0,102,0
PH060400000,PH060401000,PH060401009,IFRC,Aklan,Altavas,Man-up,10/11/18,0,0,101
PH060400000,PH060401000,PH060401010,IFRC,Aklan,Altavas,Odiong,10/25/18,223,0,0
PH060400000,PH060401000,PH060401010,IFRC,Aklan,Altavas,Odiong,11/15/18,0,217,0
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,8/8/18,56,0,0
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,9/6/18,0,39,0
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,10/11/18,0,0,38
PH060400000,PH060401000,PH060401012,IFRC,Aklan,Altavas,Quinasay-an,11/15/18,0,0,1
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,8/8/18,86,0,0
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,9/6/18,0,78,0
PH060400000,PH060401000,PH060401013,IFRC,Aklan,Altavas,Talon,10/11/18,0,0,77
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,8/8/18,65,0,0
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,9/6/18,0,61,0
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,10/11/18,0,0,60
PH060400000,PH060401000,PH060401014,IFRC,Aklan,Altavas,Tibiao,11/15/18,0,0,1
PH060400000,PH060402000,PH060402001,Spanish Red Cross,Aklan,Balete,Aranas,9/20/18,303,0,0
PH060400000,PH060402000,PH060402002,Spanish Red Cross,Aklan,Balete,Arcangel,9/20/18,180,0,0
PH060400000,PH060402000,PH060402004,Spanish Red Cross,Aklan,Balete,Calizo,9/20/18,289,0,0
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,9/20/18,207,0,0
PH060400000,PH060402000,PH060402005,Spanish Red Cross,Aklan,Balete,Cortes,10/18/18,2,0,0
PH060400000,PH060402000,PH060402006,Spanish Red Cross,Aklan,Balete,Feliciano,9/20/18,212,0,0
PH060400000,PH060402000,PH060402007,Spanish Red Cross,Aklan,Balete,Fulgencio,9/20/18,182,0,0
PH060400000,PH060402000,PH060402008,Spanish Red Cross,Aklan,Balete,Guanko,9/20/18,81,0,0
PH060400000,PH060402000,PH060402009,Spanish Red Cross,Aklan,Balete,Morales,9/20/18,231,0,0
